date,released_date,n,diff_n
2021-05-10,2021-05-10,3.0,3.0
2021-05-11,2021-05-11,7.0,7.0
2021-05-12,2021-05-12,16.0,16.0
2021-05-13,2021-05-13,13.0,13.0
2021-05-14,2021-05-14,29.0,29.0
2021-05-14,2021-05-24,30.0,1.0
2021-05-15,2021-05-15,180.0,180.0
2021-05-15,2021-05-24,185.0,5.0
2021-05-16,2021-05-16,206.0,206.0
2021-05-16,2021-05-22,245.0,39.0
2021-05-16,2021-05-23,257.0,12.0
2021-05-16,2021-05-24,269.0,12.0
2021-05-16,2021-05-25,276.0,7.0
2021-05-16,2021-05-28,280.0,4.0
2021-05-17,2021-05-17,333.0,333.0
2021-05-17,2021-05-22,406.0,73.0
2021-05-17,2021-05-23,441.0,35.0
2021-05-17,2021-05-24,476.0,35.0
2021-05-17,2021-05-25,510.0,34.0
2021-05-17,2021-05-26,526.0,16.0
2021-05-17,2021-05-27,530.0,4.0
2021-05-17,2021-05-28,533.0,3.0
2021-05-18,2021-05-18,240.0,240.0
2021-05-18,2021-05-22,325.0,85.0
2021-05-18,2021-05-23,355.0,30.0
2021-05-18,2021-05-24,382.0,27.0
2021-05-18,2021-05-25,414.0,32.0
2021-05-18,2021-05-26,437.0,23.0
2021-05-18,2021-05-27,447.0,10.0
2021-05-18,2021-05-28,454.0,7.0
2021-05-19,2021-05-19,267.0,267.0
2021-05-19,2021-05-22,359.0,92.0
2021-05-19,2021-05-23,391.0,32.0
2021-05-19,2021-05-24,431.0,40.0
2021-05-19,2021-05-25,468.0,37.0
2021-05-19,2021-05-26,504.0,36.0
2021-05-19,2021-05-27,518.0,14.0
2021-05-19,2021-05-28,525.0,7.0
2021-05-20,2021-05-20,286.0,286.0
2021-05-20,2021-05-22,360.0,74.0
2021-05-20,2021-05-23,375.0,15.0
2021-05-20,2021-05-24,405.0,30.0
2021-05-20,2021-05-25,435.0,30.0
2021-05-20,2021-05-26,458.0,23.0
2021-05-20,2021-05-27,467.0,9.0
2021-05-20,2021-05-28,474.0,7.0
2021-05-21,2021-05-21,312.0,312.0
2021-05-21,2021-05-22,349.0,37.0
2021-05-21,2021-05-23,363.0,14.0
2021-05-21,2021-05-24,385.0,22.0
2021-05-21,2021-05-25,402.0,17.0
2021-05-21,2021-05-26,411.0,9.0
2021-05-21,2021-05-27,418.0,7.0
2021-05-21,2021-05-28,424.0,6.0
2021-05-22,2021-05-22,321.0,321.0
2021-05-22,2021-05-23,353.0,32.0
2021-05-22,2021-05-24,380.0,27.0
2021-05-22,2021-05-25,402.0,22.0
2021-05-22,2021-05-26,429.0,27.0
2021-05-22,2021-05-27,451.0,22.0
2021-05-22,2021-05-28,464.0,13.0
2021-05-23,2021-05-23,287.0,287.0
2021-05-23,2021-05-24,344.0,57.0
2021-05-23,2021-05-25,384.0,40.0
2021-05-23,2021-05-26,430.0,46.0
2021-05-23,2021-05-27,454.0,24.0
2021-05-23,2021-05-28,476.0,22.0
2021-05-24,2021-05-24,334.0,334.0
2021-05-24,2021-05-25,376.0,42.0
2021-05-24,2021-05-26,435.0,59.0
2021-05-24,2021-05-27,464.0,29.0
2021-05-24,2021-05-28,485.0,21.0
2021-05-25,2021-05-25,281.0,281.0
2021-05-25,2021-05-26,373.0,92.0
2021-05-25,2021-05-27,427.0,54.0
2021-05-25,2021-05-28,463.0,36.0
2021-05-26,2021-05-26,302.0,302.0
2021-05-26,2021-05-27,395.0,93.0
2021-05-26,2021-05-28,467.0,72.0
2021-05-27,2021-05-27,401.0,401.0
2021-05-27,2021-05-28,461.0,60.0
2021-05-28,2021-05-28,297.0,297.0
